BGC,Unit,Spp,ESuit
BAFAun,BAFAun/00,X,1
BAFAunp,BAFAunp/00,X,1
BGdwz,BGdwz/110,Fd,2
BGdwz,BGdwz/110,Py,1
BGdwz,BGdwz/111,Act,1
BGdwz,BGdwz/Gg,X,1
BGmmx,BGmmx/Gg,X,1
BGmmy,BGmmy/Gg,X,1
BGmmz,BGmmz/110,Fd,1
BGmmz,BGmmz/110,Py,1
BGmmz,BGmmz/111,Act,1
BGmmz,BGmmz/Gg,X,1
BGwmz,BGwmz/110,Fd,1
BGwmz,BGwmz/110,Py,1
BGwmz,BGwmz/111,Act,1
BGwmz,BGwmz/Gg,X,1
BGxh1,BGxh1/04,Fd,3
BGxh1,BGxh1/04,Py,2
BGxh1,BGxh1/05,At,3
BGxh1,BGxh1/05,Fd,2
BGxh1,BGxh1/05,Py,2
BGxh1,BGxh1/06,Act,2
BGxh1,BGxh1/06,At,3
BGxh1,BGxh1/06,Ep,3
BGxh1,BGxh1/06,Fd,2
BGxh1,BGxh1/06,Py,2
BGxh1,BGxh1/07,Act,2
BGxh1,BGxh1/07,At,3
BGxh1,BGxh1/07,Ep,3
BGxh1,BGxh1/07,Fd,2
BGxh1,BGxh1/07,Pl,2
BGxh1,BGxh1/07,Py,2
BGxh1,BGxh1/07,Sx,2
BGxh1,BGxh1/Gg,X,1
BGxh2,BGxh2/03,Py,2
BGxh2,BGxh2/04,Fd,3
BGxh2,BGxh2/04,Py,2
BGxh2,BGxh2/05,Fd,2
BGxh2,BGxh2/05,Py,1
BGxh2,BGxh2/05,X,1
BGxh2,BGxh2/07,Act,2
BGxh2,BGxh2/07,At,3
BGxh2,BGxh2/07,Ep,3
BGxh2,BGxh2/07,Fd,2
BGxh2,BGxh2/07,Py,2
BGxh2,BGxh2/07,Sx,3
BGxh2,BGxh2/Gg,X,1
BGxh3,BGxh3/110,Fd,2
BGxh3,BGxh3/111,Fd,2
BGxh3,BGxh3/112,Act,1
BGxh3,BGxh3/113,Act,1
BGxh3,BGxh3/113,Fd,2
BGxh3,BGxh3/Gg,X,1
BGxhy,BGxhy/110,Ju,1
BGxhy,BGxhy/110,Jw,3
BGxhy,BGxhy/110,Pn,3
BGxhy,BGxhy/111,Aa,1
BGxhy,BGxhy/111,Act,1
BGxhy,BGxhy/Gg,X,1
BGxhz,BGxhz/110,Py,2
BGxhz,BGxhz/111,Act,1
BGxhz,BGxhz/111,Py,3
BGxhz,BGxhz/Gg,X,1
BGxw1,BGxw1/03,Fd,3
BGxw1,BGxw1/03,Py,2
BGxw1,BGxw1/05,Fd,3
BGxw1,BGxw1/05,Py,2
BGxw1,BGxw1/08,At,3
BGxw1,BGxw1/08,Fd,3
BGxw1,BGxw1/Gg,X,1
BGxw2,BGxw2/110,Fd,2
BGxw2,BGxw2/111,Fd,2
BGxw2,BGxw2/112,Act,2
BGxw2,BGxw2/113,Fd,1
BGxw2,BGxw2/114,At,1
BGxw2,BGxw2/115,At,1
BGxw2,BGxw2/Gg,X,1
BSJPap,BSJPap/a,Ep,3
BSJPap,BSJPap/a,Pj,1
BSJPap,BSJPap/b,Acb,3
BSJPap,BSJPap/b,At,1
BSJPap,BSJPap/b,Ep,3
BSJPap,BSJPap/b,Pj,1
BSJPap,BSJPap/b,Sb,2
BSJPap,BSJPap/b,Sx,2
BSJPap,BSJPap/c,Ep,3
BSJPap,BSJPap/c,Pj,1
BSJPap,BSJPap/c,Sb,1
BSJPap,BSJPap/c,Sx,2
BSJPap,BSJPap/d,Ep,3
BSJPap,BSJPap/d,Pj,1
BSJPap,BSJPap/d,Sb,1
BSJPap,BSJPap/e,Acb,3
BSJPap,BSJPap/e,At,1
BSJPap,BSJPap/e,Ep,2
BSJPap,BSJPap/e,Sb,3
BSJPap,BSJPap/e,Sx,1
BSJPap,BSJPap/f,Sb,1
BSJPap,BSJPap/g,Lt,2
BSJPap,BSJPap/g,Sb,1
BSJPap,BSJPap/h,Lt,1
BSJPap,BSJPap/h,Sb,3
BSJPku,BSJPku/a,Ep,3
BSJPku,BSJPku/a,Pj,1
BSJPku,BSJPku/b,Acb,3
BSJPku,BSJPku/b,At,1
BSJPku,BSJPku/b,Ep,3
BSJPku,BSJPku/b,Pj,1
BSJPku,BSJPku/b,Sb,2
BSJPku,BSJPku/b,Sx,2
BSJPku,BSJPku/c,Ep,3
BSJPku,BSJPku/c,Pj,1
BSJPku,BSJPku/c,Sb,1
BSJPku,BSJPku/c,Sx,2
BSJPku,BSJPku/d,Ep,3
BSJPku,BSJPku/d,Pj,1
BSJPku,BSJPku/d,Sb,1
BSJPku,BSJPku/e,Acb,3
BSJPku,BSJPku/e,At,1
BSJPku,BSJPku/e,Ep,2
BSJPku,BSJPku/e,Sb,3
BSJPku,BSJPku/e,Sx,1
BSJPku,BSJPku/f,Sb,1
BSJPku,BSJPku/g,Lt,2
BSJPku,BSJPku/g,Sb,1
BSJPku,BSJPku/h,Lt,1
BSJPku,BSJPku/h,Sb,3
BSJPpa,BSJPpa/a,Ep,3
BSJPpa,BSJPpa/a,Pj,1
BSJPpa,BSJPpa/b,Acb,3
BSJPpa,BSJPpa/b,At,1
BSJPpa,BSJPpa/b,Ep,3
BSJPpa,BSJPpa/b,Pj,1
BSJPpa,BSJPpa/b,Sb,2
BSJPpa,BSJPpa/b,Sx,2
BSJPpa,BSJPpa/c,Ep,3
BSJPpa,BSJPpa/c,Pj,1
BSJPpa,BSJPpa/c,Sb,1
BSJPpa,BSJPpa/c,Sx,2
BSJPpa,BSJPpa/d,Ep,3
BSJPpa,BSJPpa/d,Pj,1
BSJPpa,BSJPpa/d,Sb,1
BSJPpa,BSJPpa/e,Acb,3
BSJPpa,BSJPpa/e,At,1
BSJPpa,BSJPpa/e,Ep,2
BSJPpa,BSJPpa/e,Sb,3
BSJPpa,BSJPpa/e,Sx,1
BSJPpa,BSJPpa/f,Sb,1
BSJPpa,BSJPpa/g,Lt,2
BSJPpa,BSJPpa/g,Sb,1
BSJPpa,BSJPpa/h,Lt,1
BSJPpa,BSJPpa/h,Sb,3
BWBScm,BWBScm/a,Pj,1
BWBScm,BWBScm/a,Pl,1
BWBScm,BWBScm/b,At,3
BWBScm,BWBScm/b,Ep,3
BWBScm,BWBScm/b,Pj,2
BWBScm,BWBScm/b,Pl,1
BWBScm,BWBScm/b,Sb,3
BWBScm,BWBScm/b,Sx,2
BWBScm,BWBScm/c,Pj,1
BWBScm,BWBScm/c,Pl,1
BWBScm,BWBScm/c,Sb,2
BWBScm,BWBScm/d,Acb,3
BWBScm,BWBScm/d,At,1
BWBScm,BWBScm/d,Bb,3
BWBScm,BWBScm/d,Ep,3
BWBScm,BWBScm/d,Pl,1
BWBScm,BWBScm/d,Sb,3
BWBScm,BWBScm/d,Sx,1
BWBScm,BWBScm/e,Acb,1
BWBScm,BWBScm/e,At,1
BWBScm,BWBScm/e,Bb,3
BWBScm,BWBScm/e,Ep,3
BWBScm,BWBScm/e,Sx,1
BWBScm,BWBScm/f,Acb,2
BWBScm,BWBScm/f,At,2
BWBScm,BWBScm/f,Bb,3
BWBScm,BWBScm/f,Ep,2
BWBScm,BWBScm/f,Pl,3
BWBScm,BWBScm/f,Sx,1
BWBScm,BWBScm/g,Pj,2
BWBScm,BWBScm/g,Pl,2
BWBScm,BWBScm/g,Sb,1
BWBScm,BWBScm/h,Ep,3
BWBScm,BWBScm/h,Sb,1
BWBScm,BWBScm/h,Sx,1
BWBScm,BWBScm/i,Sb,1
BWBScm,BWBScm/j,Lt,2
BWBScm,BWBScm/j,Sb,1
BWBScm,BWBScm/k,Lt,1
BWBScm,BWBScm/k,Sb,3
BWBSdk,BWBSdk/101,Acb,3
BWBSdk,BWBSdk/101,At,1
BWBSdk,BWBSdk/101,Bl,2
BWBSdk,BWBSdk/101,Ep,3
BWBSdk,BWBSdk/101,Pl,1
BWBSdk,BWBSdk/101,Sb,3
BWBSdk,BWBSdk/101,Sx,1
BWBSdk,BWBSdk/102,At,3
BWBSdk,BWBSdk/102,Bl,3
BWBSdk,BWBSdk/102,Pl,2
BWBSdk,BWBSdk/102,Sb,3
BWBSdk,BWBSdk/102,Sx,3
BWBSdk,BWBSdk/103,At,2
BWBSdk,BWBSdk/103,Bl,2
BWBSdk,BWBSdk/103,Ep,3
BWBSdk,BWBSdk/103,Pl,1
BWBSdk,BWBSdk/103,Sb,3
BWBSdk,BWBSdk/103,Sx,1
BWBSdk,BWBSdk/104,At,2
BWBSdk,BWBSdk/104,Bl,3
BWBSdk,BWBSdk/104,Pl,2
BWBSdk,BWBSdk/104,Sb,3
BWBSdk,BWBSdk/104,Sx,1
BWBSdk,BWBSdk/110,Acb,2
BWBSdk,BWBSdk/110,At,2
BWBSdk,BWBSdk/110,Bl,3
BWBSdk,BWBSdk/110,Ep,3
BWBSdk,BWBSdk/110,Pl,2
BWBSdk,BWBSdk/110,Sb,3
BWBSdk,BWBSdk/110,Sx,1
BWBSdk,BWBSdk/111,Acb,2
BWBSdk,BWBSdk/111,At,3
BWBSdk,BWBSdk/111,Bl,3
BWBSdk,BWBSdk/111,Ep,3
BWBSdk,BWBSdk/111,Pl,2
BWBSdk,BWBSdk/111,Sb,3
BWBSdk,BWBSdk/111,Sx,1
BWBSdm,BWBSdm/a,Pj,1
BWBSdm,BWBSdm/a,Pl,1
BWBSdm,BWBSdm/b,At,3
BWBSdm,BWBSdm/b,Ep,3
BWBSdm,BWBSdm/b,Pj,2
BWBSdm,BWBSdm/b,Pl,1
BWBSdm,BWBSdm/b,Sb,3
BWBSdm,BWBSdm/b,Sx,2
BWBSdm,BWBSdm/c,Pj,1
BWBSdm,BWBSdm/c,Pl,1
BWBSdm,BWBSdm/c,Sb,2
BWBSdm,BWBSdm/d,Acb,3
BWBSdm,BWBSdm/d,At,1
BWBSdm,BWBSdm/d,Bb,3
BWBSdm,BWBSdm/d,Ep,3
BWBSdm,BWBSdm/d,Pl,1
BWBSdm,BWBSdm/d,Sb,3
BWBSdm,BWBSdm/d,Sx,1
BWBSdm,BWBSdm/e,Acb,1
BWBSdm,BWBSdm/e,At,1
BWBSdm,BWBSdm/e,Bb,3
BWBSdm,BWBSdm/e,Ep,3
BWBSdm,BWBSdm/e,Sx,1
BWBSdm,BWBSdm/f,Acb,2
BWBSdm,BWBSdm/f,At,2
BWBSdm,BWBSdm/f,Bb,3
BWBSdm,BWBSdm/f,Ep,2
BWBSdm,BWBSdm/f,Pl,3
BWBSdm,BWBSdm/f,Sx,1
BWBSdm,BWBSdm/g,Pj,2
BWBSdm,BWBSdm/g,Pl,2
BWBSdm,BWBSdm/g,Sb,1
BWBSdm,BWBSdm/h,Ep,3
BWBSdm,BWBSdm/h,Sb,1
BWBSdm,BWBSdm/h,Sx,1
BWBSdm,BWBSdm/i,Sb,1
BWBSdm,BWBSdm/j,Lt,2
BWBSdm,BWBSdm/j,Sb,1
BWBSdm,BWBSdm/k,Lt,1
BWBSdm,BWBSdm/k,Sb,3
