BGC,SS_NoSpace,Spp,ESuit,Use,Changes
BAFAun,BAFAun/00,X,1,B2,
BAFAun,BAFAun/00,X,1,C4,
BAFAun,BAFAun/00,X,1,D6,
BAFAunp,BAFAunp/00,X,1,B2,
BAFAunp,BAFAunp/00,X,1,C4,
BAFAunp,BAFAunp/00,X,1,D6,
BGdh_OR,BGdh_OR/111,Aa,1,D6,
BGdh_OR,BGdh_OR/111,Act,5,D6,1 to 5
BGdh_OR,BGdh_OR/111,Py,5,D6,3 to 5
BGdh_OR,BGdh_OR/Gg1,X,1,B2,
BGdh_OR,BGdh_OR/Gg2,Ju,3,C4,
BGdh_OR,BGdh_OR/Gg2,Jw,3,C4,
BGdw_WA,BGdw_WA/111,Act,2,D6,1 to 2
BGdw_WA,BGdw_WA/Gg,X,1,B2,
BGdw_WA,BGdw_WA/Gg,X,1,C4,
BGmk_MT,BGmk_MT/111,Act,5,D6,2 to 5
BGmk_MT,BGmk_MT/111,Aa,2,D6,added
BGmk_MT,BGmk_MT/Gg1,X,1,B2,
BGmk_MT,BGmk_MT/Gg2,Jr,3,C4,
BGmm_MT,BGmm_MT/111,Act,2,D6,1 to 2
BGmm_MT,BGmm_MT/111,Fd,5,D6,2 to 5
BGmm_MT,BGmm_MT/Gg1,X,1,B2,
BGmm_MT,BGmm_MT/Gg2,Jr,3,C4,
BGmw_WA,BGmw_WA/111,Act,2,D6,1 to 2
BGmw_WA,BGmw_WA/111,Fd,5,D6,3 to 5
BGmw_WA,BGmw_WA/111,Py,5,D6,2 to 5
BGmw_WA,BGmw_WA/Gg,X,1,B2,
BGmw_WA,BGmw_WA/Gg,X,1,C4,
BGwm_WA,BGwm_WA/111,Act,2,D6,1 to 2
BGwm_WA,BGwm_WA/111,Fd,5,D6,3 to 5
BGwm_WA,BGwm_WA/111,Py,5,D6,2 to 5
BGwm_WA,BGwm_WA/Gg,X,1,B2,
BGwm_WA,BGwm_WA/Gg,X,1,C4,
BGxh_WA,BGxh_WA/111,Act,2,D6,1 to 2
BGxh_WA,BGxh_WA/111,Fd,5,D6,3 to 5
BGxh_WA,BGxh_WA/111,Py,5,D6,3 to 5
BGxh_WA,BGxh_WA/Gg1,X,1,B2,
BGxh_WA,BGxh_WA/Gg2,Jw,3,C4,
BGxh1,BGxh1/06,Act,2,D6,
BGxh1,BGxh1/06,At,3,D6,
BGxh1,BGxh1/06,Ep,3,D6,
BGxh1,BGxh1/06,Fd,3,D6,2 to 3
BGxh1,BGxh1/06,Py,2,D6,
BGxh1,BGxh1/Gg,X,1,B2,
BGxh1,BGxh1/Gg,X,1,C4,
BGxh2,BGxh2/07,Act,2,D6,
BGxh2,BGxh2/07,At,3,D6,
BGxh2,BGxh2/07,Ep,3,D6,
BGxh2,BGxh2/07,Fd,3,D6,2 to 3
BGxh2,BGxh2/07,Py,2,D6,
BGxh2,BGxh2/07,Sx,3,D6,
BGxh2,BGxh2/Gg,X,1,B2,
BGxh2,BGxh2/Gs,X,1,C4,
BGxh3,BGxh3/112,Act,1,D6,
BGxh3,BGxh3/Gg,X,1,B2,
BGxh3,BGxh3/Gg,X,1,C4,
BGxw1,BGxw1/01,X,1,C4,
BGxw1,BGxw1/04,X,1,B2,
BGxw1,BGxw1/08,At,3,D6,
BGxw1,BGxw1/08,Fd,3,D6,
BGxw2,BGxw2/115,At,1,D6,
BGxw2,BGxw2/Gg,X,1,B2,
BGxw2,BGxw2/Gg,X,1,C4,
BSJPap,BSJPap/a,Ep,3,B2,
BSJPap,BSJPap/a,Pj,1,B2,
BSJPap,BSJPap/b,Acb,3,C4,
BSJPap,BSJPap/b,At,1,C4,
BSJPap,BSJPap/b,Ep,3,C4,
BSJPap,BSJPap/b,Pj,1,C4,
BSJPap,BSJPap/b,Sb,2,C4,
BSJPap,BSJPap/b,Sx,2,C4,
BSJPap,BSJPap/e,Acb,3,D6,
BSJPap,BSJPap/e,At,1,D6,
