BGC,SS_NoSpace,Spp,ESuit,AssessSuit,differnce,Assessor,Restrict_type,TB_Changed,WM_Comments,DM_Comments,CoastSuit,ESuit_new,AB Comment Oct-Nov 2019,ESuit_TB,ESuit_CCISS,CCISS_Change,PredSuit
BAFAun,BAFAun/00,X,1,,FALSE,,c,,,,,,,,1,,
BAFAun,BAFAun/00,X,1,,FALSE,,c,,,,,,,,1,,
BAFAun,BAFAun/00,X,1,,FALSE,,c,,,,,,,,1,,
BAFAunp,BAFAunp/00,X,1,,FALSE,,c,,,,,,,,1,,
BAFAunp,BAFAunp/00,X,1,,FALSE,,c,,,,,,,,1,,
BAFAunp,BAFAunp/00,X,1,,FALSE,,c,,,,,,,,1,,
BGdh_OR,BGdh_OR/110,Ju,1,,FALSE,,,,,,,,,,,,
BGdh_OR,BGdh_OR/110,Jw,3,,FALSE,,,,,,,,,,,,
BGdh_OR,BGdh_OR/110,Pn,3,,FALSE,,,,,,,,,,,,
BGdh_OR,BGdh_OR/111,Aa,1,,FALSE,,,,,,,,,,1,,
BGdh_OR,BGdh_OR/111,Act,5,,FALSE,,,,,,,,,,5,1 to 5,
BGdh_OR,BGdh_OR/111,Py,5,,FALSE,,,,,,,,,,5,3 to 5,
BGdh_OR,BGdh_OR/Gg1,X,1,,FALSE,,,,,,,,,,1,,
BGdh_OR,BGdh_OR/Gg2,Ju,3,,FALSE,,,,,,,,,,3,,
BGdh_OR,BGdh_OR/Gg2,Jw,3,,FALSE,,,,,,,,,,3,,
BGdw_WA,BGdw_WA/110,Fd,1,,FALSE,,,,,,,,,,,,
BGdw_WA,BGdw_WA/110,Py,1,,FALSE,,,,,,,,,,,,
BGdw_WA,BGdw_WA/111,Act,2,,FALSE,,,,,,,,,,2,1 to 2,
BGdw_WA,BGdw_WA/Gg,X,1,,FALSE,,,,,,,,,,1,,
BGdw_WA,BGdw_WA/Gg,X,1,,FALSE,,,,,,,,,,1,,
BGmk_ID,BGmk_ID/110,Fd,2,,FALSE,,,,,,,,,,,,
BGmk_ID,BGmk_ID/110,Jr,2,,FALSE,,,,,,,,,,,,
BGmk_ID,BGmk_ID/110,Om,3,,FALSE,,,,,,,,,,,,
BGmk_ID,BGmk_ID/111,Act,1,,FALSE,,,,,,,,,,,,
BGmk_ID,BGmk_ID/111,At,2,,FALSE,,,,,,,,,,,,
BGmk_ID,BGmk_ID/111,Fd,2,,FALSE,,,,,,,,,,,,
BGmk_ID,BGmk_ID/Gg,X,1,,FALSE,,,,,,,,,,,,
BGmk_MT,BGmk_MT/110,Fd,1,,FALSE,,,,,,,,,,,,
BGmk_MT,BGmk_MT/110,Jr,3,,FALSE,,,,,,,,,,,,
BGmk_MT,BGmk_MT/111,Aa,2,,FALSE,,,,,,,,,,2, to 2,
BGmk_MT,BGmk_MT/111,Act,5,,FALSE,,,,,,,,,,5,1 to 5,
BGmk_MT,BGmk_MT/111,Fd,2,,FALSE,,,,,,,,,,,,
BGmk_MT,BGmk_MT/Gg1,X,1,1,FALSE,DVM,,,,changed Gg to Gg1,,,,,1,,
BGmk_MT,BGmk_MT/Gg2,Jr,3,,FALSE,,,,,,,,,,3,,
BGmm_MT,BGmm_MT/110,Fd,1,,FALSE,,,,,,,,,,,,
BGmm_MT,BGmm_MT/110,Jr,3,,FALSE,,,,,,,,,,,,
BGmm_MT,BGmm_MT/111,Act,2,,FALSE,,,,,,,,,,2,1 to 2,
BGmm_MT,BGmm_MT/111,Fd,5,,FALSE,,,,,,,,,,5,2 to 5,
BGmm_MT,BGmm_MT/Gg1,X,1,1,FALSE,DVM,,,,changed Gg to Gg1,,,,,1,,
BGmm_MT,BGmm_MT/Gg2,Jr,3,,FALSE,,,,,,,,,,3,,
BGmw_WA,BGmw_WA/110,Fd,2,,FALSE,,h,,,,,,,,,,
BGmw_WA,BGmw_WA/110,Py,1,,FALSE,,,,,,,,,,,,
BGmw_WA,BGmw_WA/111,Act,2,,FALSE,,,,,,,,,,2,1 to 2,
BGmw_WA,BGmw_WA/111,Fd,5,,FALSE,,,,,,,,,,5,3 to 5,
BGmw_WA,BGmw_WA/111,Py,5,,FALSE,,,,,,,,,,5,2 to 5,
BGmw_WA,BGmw_WA/Gg,X,1,,FALSE,,,,,,,,,,1,,
BGmw_WA,BGmw_WA/Gg,X,1,,FALSE,,,,,,,,,,1,,
BGwm_WA,BGwm_WA/110,Fd,1,,FALSE,,,,,,,,,,,,
BGwm_WA,BGwm_WA/110,Py,1,,FALSE,,,,,,,,,,,,
BGwm_WA,BGwm_WA/111,Act,2,,FALSE,,,,,,,,,,2,1 to 2,
BGwm_WA,BGwm_WA/111,Fd,5,,FALSE,,,,,,,,,,5,3 to 5,
BGwm_WA,BGwm_WA/111,Py,5,,FALSE,,,,,,,,,,5,2 to 5,
BGwm_WA,BGwm_WA/Gg,X,1,,FALSE,,,,,,,,,,1,,
BGwm_WA,BGwm_WA/Gg,X,1,,FALSE,,,,,,,,,,1,,
BGxh_WA,BGxh_WA/110,Py,2,,FALSE,,,,,,,,,,,,
BGxh_WA,BGxh_WA/110,Qg,3,,FALSE,,,,,,,,,,,,
BGxh_WA,BGxh_WA/111,Act,2,,FALSE,,,,,,,,,,2,1 to 2,
BGxh_WA,BGxh_WA/111,Fd,5,,FALSE,,,,,,,,,,5,3 to 5,
BGxh_WA,BGxh_WA/111,Py,5,,FALSE,,,,,,,,,,5,3 to 5,
BGxh_WA,BGxh_WA/Gg1,X,1,,FALSE,,,,,,,,,,1,,
BGxh_WA,BGxh_WA/Gg2,Jw,3,,FALSE,,,,,,,,,,3,,
BGxh1,BGxh1/04,Fd,3,,FALSE,,h,,,,,,,,,,
BGxh1,BGxh1/04,Py,2,,FALSE,,h,,,,,,,,,,
BGxh1,BGxh1/05,At,3,,FALSE,,h,,,,,,,,,,
BGxh1,BGxh1/05,Fd,2,,FALSE,,h,,,,,,,,,,
BGxh1,BGxh1/05,Py,2,,FALSE,,h,,,,,,,,,,
BGxh1,BGxh1/06,Act,2,,FALSE,,h,,,,,,,,2,,
BGxh1,BGxh1/06,At,3,,FALSE,,,,,,,,,,3,,
BGxh1,BGxh1/06,Ep,3,,FALSE,,,,,,,,,,3,,
BGxh1,BGxh1/06,Fd,3,,FALSE,,,,,,,,,,3,2 to 3,
BGxh1,BGxh1/06,Py,2,,FALSE,,,,,,,,,,2,,
BGxh1,BGxh1/07,Act,2,,FALSE,,,,,,,,,,,,
BGxh1,BGxh1/07,At,3,,FALSE,,,,,,,,,,,,
