Source,BGC,SS_NoSpace,Edatopic,Use
BECv10,BAFAun,BAFAun/00,B2,B2
BECv10,BAFAun,BAFAun/00,C4,C4
BECv10,BAFAun,BAFAun/00,D6,D6
BECv10,BAFAunp,BAFAunp/00,B2,B2
BECv10,BAFAunp,BAFAunp/00,C4,C4
BECv10,BAFAunp,BAFAunp/00,D6,D6
USA_2019,BGdh_OR,BGdh_OR/111,D6,D6
USA_2019,BGdh_OR,BGdh_OR/Gg1,B2,B2
USA_2019,BGdh_OR,BGdh_OR/Gg2,C4,C4
USA_2019,BGdw_WA,BGdw_WA/111,D6,D6
USA_2019,BGdw_WA,BGdw_WA/Gg,B2,B2
USA_2019,BGdw_WA,BGdw_WA/Gg,C4,C4
USA_2019,BGmk_MT,BGmk_MT/111,D6,D6
USA_2019,BGmk_MT,BGmk_MT/Gg1,B2,B2
USA_2019,BGmk_MT,BGmk_MT/Gg2,C4,C4
USA_2019,BGmm_MT,BGmm_MT/111,D6,D6
USA_2019,BGmm_MT,BGmm_MT/Gg1,B2,B2
USA_2019,BGmm_MT,BGmm_MT/Gg2,C4,C4
USA_2019,BGmw_WA,BGmw_WA/111,D6,D6
USA_2019,BGmw_WA,BGmw_WA/Gg,B2,B2
USA_2019,BGmw_WA,BGmw_WA/Gg,C4,C4
USA_2019,BGwm_WA,BGwm_WA/111,D6,D6
USA_2019,BGwm_WA,BGwm_WA/Gg,B2,B2
USA_2019,BGwm_WA,BGwm_WA/Gg,C4,C4
USA_2019,BGxh_WA,BGxh_WA/111,D6,D6
USA_2019,BGxh_WA,BGxh_WA/Gg1,B2,B2
USA_2019,BGxh_WA,BGxh_WA/Gg2,C4,C4
BECv10,BGxh1,BGxh1/06,D6,D6
BECv10,BGxh1,BGxh1/Gg,B2,B2
BECv10,BGxh1,BGxh1/Gg,C4,C4
BECv10,BGxh2,BGxh2/07,D6,D6
BECv10,BGxh2,BGxh2/Gg,B2,B2
BECv10,BGxh2,BGxh2/Gs,C4,C4
BECv10,BGxh3,BGxh3/112,D6,D6
BECv10,BGxh3,BGxh3/Gg,B2,B2
BECv10,BGxh3,BGxh3/Gg,C4,C4
BECv10,BGxw1,BGxw1/01,C4,C4
BECv10,BGxw1,BGxw1/04,B2,B2
BECv10,BGxw1,BGxw1/08,D6,D6
BECv10,BGxw2,BGxw2/115,D6,D6
BECv10,BGxw2,BGxw2/Gg,B2,B2
BECv10,BGxw2,BGxw2/Gg,C4,C4
AB_2018,BSJPap,BSJPap/a,B2,B2
AB_2018,BSJPap,BSJPap/b,C4,C4
AB_2018,BSJPap,BSJPap/e,D6,D6
AB_2018,BSJPku,BSJPku/a,B2,B2
AB_2018,BSJPku,BSJPku/b,C4,C4
AB_2018,BSJPku,BSJPku/e,D6,D6
AB_2018,BSJPpa,BSJPpa/a,B2,B2
AB_2018,BSJPpa,BSJPpa/b,C4,C4
AB_2018,BSJPpa,BSJPpa/e,D6,D6
AB_2018,BWBScm,BWBScm/a,B2,B2
AB_2018,BWBScm,BWBScm/d,C4,C4
AB_2018,BWBScm,BWBScm/f,D6,D6
BECv10,BWBSdk,BWBSdk/101,C4,C4
BECv10,BWBSdk,BWBSdk/102,B2,B2
BECv10,BWBSdk,BWBSdk/110,D6,D6
AB_2018,BWBSdm,BWBSdm/a,B2,B2
AB_2018,BWBSdm,BWBSdm/d,C4,C4
AB_2018,BWBSdm,BWBSdm/f,D6,D6
AB_2018,BWBSlb,BWBSlb/a,B2,B2
AB_2018,BWBSlb,BWBSlb/d,C4,C4
AB_2018,BWBSlb,BWBSlb/f,D6,D6
AB_2018,BWBSlf,BWBSlf/b,B2,B2
AB_2018,BWBSlf,BWBSlf/e,C4,C4
AB_2018,BWBSlf,BWBSlf/i,D6,D6
BECv10,BWBSmk,BWBSmk/101,C4,C4
BECv10,BWBSmk,BWBSmk/102,B2,B2
BECv10,BWBSmk,BWBSmk/110,D6,D6
BECv10,BWBSmw,BWBSmw/101,C4,C4
BECv10,BWBSmw,BWBSmw/102,B2,B2
BECv10,BWBSmw,BWBSmw/111,D6,D6
AB_2018,BWBSnm,BWBSnm/b,B2,B2
AB_2018,BWBSnm,BWBSnm/d,C4,C4
AB_2018,BWBSnm,BWBSnm/f,D6,D6
AB_2018,BWBSpp,BWBSpp/a,B2,B2
AB_2018,BWBSpp,BWBSpp/d,C4,C4
AB_2018,BWBSpp,BWBSpp/f,D6,D6
AB_2018,BWBSub,BWBSub/a,B2,B2
AB_2018,BWBSub,BWBSub/d,C4,C4
AB_2018,BWBSub,BWBSub/f,D6,D6
AB_2018,BWBSuf,BWBSuf/b,B2,B2
AB_2018,BWBSuf,BWBSuf/e,C4,C4
AB_2018,BWBSuf,BWBSuf/j,D6,D6
BECv10,BWBSvk,BWBSvk/d,B2,B2
BECv10,BWBSvk,BWBSvk/h,D6,D6
BECv10,BWBSvk,BWBSvk/m,C4,C4
BECv10,BWBSwk1,BWBSwk1/101,C4,C4
BECv10,BWBSwk1,BWBSwk1/102,B2,B2
BECv10,BWBSwk1,BWBSwk1/110,D6,D6
BECv10,BWBSwk2,BWBSwk2/101,C4,C4
BECv10,BWBSwk2,BWBSwk2/102,B2,B2
BECv10,BWBSwk2,BWBSwk2/111,D6,D6
BECv10,BWBSwk3,BWBSwk3/101,C4,C4
BECv10,BWBSwk3,BWBSwk3/102,B2,B2
BECv10,BWBSwk3,BWBSwk3/110,D6,D6
USA_2019,CCHun_CA,CCHun_CA/101,C4,C4
USA_2019,CCHun_CA,CCHun_CA/111,D6,D6
USA_2019,CCHun_CA,CCHun_CA/Gs,B2,B2
BECv10,CDFmm,CDFmm/01,B2,B2
BECv10,CDFmm,CDFmm/01,C4,C4
BECv10,CDFmm,CDFmm/06,D6,D6
USA_2019,CDFmm_OR,CDFmm_OR/101,C4,C4
USA_2019,CDFmm_OR,CDFmm_OR/103,B2,B2
USA_2019,CDFmm_OR,CDFmm_OR/113,D6,D6
USA_2019,CDFmm_WA,CDFmm_WA/101,C4,C4
USA_2019,CDFmm_WA,CDFmm_WA/103,B2,B2
USA_2019,CDFmm_WA,CDFmm_WA/113,D6,D6
USA_2019,CDFxm_CA,CDFxm_CA/101,C4,C4
USA_2019,CDFxm_CA,CDFxm_CA/103,B2,B2
USA_2019,CDFxm_CA,CDFxm_CA/113,D6,D6
BECv10,CMAun,CMAun/00,B2,B2
BECv10,CMAun,CMAun/00,C4,C4
BECv10,CMAun,CMAun/00,D6,D6
USA_2019,CMAun_CA,CMAun_CA/00,B2,B2
